engine,version,workload,status,op_count,median_micros,best_micros,ops_per_sec,note
raft-db,"0.1.0 (FFI, batch binary codec)",bulk_write,ok,10000,77536,65641,128972.3,
raft-db,"0.1.0 (FFI, batch binary codec)",bulk_update,ok,10000,81258,77716,123064.8,
raft-db,"0.1.0 (FFI, batch binary codec)",bulk_delete,ok,10000,51329,50287,194821.6,
raft-db,"0.1.0 (FFI, batch binary codec)",durable_writes,ok,500,9777774,9509516,51.1,
raft-db,"0.1.0 (FFI, batch binary codec)",point_read,ok,10000,17162,13453,582682.7,
raft-db,"0.1.0 (FFI, batch binary codec)",iterate_all,ok,10000,3296,3140,3033980.6,
SQLite (sqflite_ffi),bundled sqlite via sqflite_common_ffi,bulk_write,ok,10000,129291,116588,77344.9,
SQLite (sqflite_ffi),bundled sqlite via sqflite_common_ffi,bulk_update,ok,10000,100690,96307,99314.7,
SQLite (sqflite_ffi),bundled sqlite via sqflite_common_ffi,bulk_delete,ok,10000,78060,71171,128106.6,
SQLite (sqflite_ffi),bundled sqlite via sqflite_common_ffi,durable_writes,ok,500,434409,428582,1151.0,
SQLite (sqflite_ffi),bundled sqlite via sqflite_common_ffi,point_read,ok,10000,938252,928284,10658.1,
SQLite (sqflite_ffi),bundled sqlite via sqflite_common_ffi,iterate_all,ok,10000,10286,9858,972195.2,
Hive,2.2.3 (pure Dart),bulk_write,ok,10000,58058,42748,172241.6,
Hive,2.2.3 (pure Dart),bulk_update,ok,10000,59629,52344,167703.6,
Hive,2.2.3 (pure Dart),bulk_delete,ok,10000,10112,9473,988924.1,
Hive,2.2.3 (pure Dart),durable_writes,ok,500,114160,111053,4379.8,
Hive,2.2.3 (pure Dart),point_read,ok,10000,4839,4579,2066542.7,
Hive,2.2.3 (pure Dart),iterate_all,ok,10000,252,209,39682539.7,
Isar,isar_community 3.x (Dart VM),bulk_write,ok,10000,53935,40834,185408.4,
Isar,isar_community 3.x (Dart VM),bulk_update,ok,10000,44594,44048,224245.4,
Isar,isar_community 3.x (Dart VM),bulk_delete,ok,10000,31172,30388,320800.7,
Isar,isar_community 3.x (Dart VM),durable_writes,ok,500,10009999,9858879,50.0,
Isar,isar_community 3.x (Dart VM),point_read,ok,10000,624750,611798,16006.4,
Isar,isar_community 3.x (Dart VM),iterate_all,ok,10000,2889,2531,3461405.3,
ObjectBox,objectbox 4.0.x (Dart VM),bulk_write,skipped,0,,,,libobjectbox not installed for Dart VM (needs `objectbox` install script / download); benchmark ObjectBox via the Flutter app instead
ObjectBox,objectbox 4.0.x (Dart VM),durable_writes,skipped,0,,,,libobjectbox not installed for Dart VM (needs `objectbox` install script / download); benchmark ObjectBox via the Flutter app instead
ObjectBox,objectbox 4.0.x (Dart VM),point_read,skipped,0,,,,libobjectbox not installed for Dart VM (needs `objectbox` install script / download); benchmark ObjectBox via the Flutter app instead
ObjectBox,objectbox 4.0.x (Dart VM),iterate_all,skipped,0,,,,libobjectbox not installed for Dart VM (needs `objectbox` install script / download); benchmark ObjectBox via the Flutter app instead
ObjectBox,objectbox 4.0.x (Dart VM),bulk_update,skipped,0,,,,libobjectbox not installed for Dart VM (needs `objectbox` install script / download); benchmark ObjectBox via the Flutter app instead
ObjectBox,objectbox 4.0.x (Dart VM),bulk_delete,skipped,0,,,,libobjectbox not installed for Dart VM (needs `objectbox` install script / download); benchmark ObjectBox via the Flutter app instead
Realm,not run here,bulk_write,skipped,0,,,,native lib requires a network download blocked in this sandbox — benchmark via the Flutter app (flutter test integration_test -d <device>)
Realm,not run here,durable_writes,skipped,0,,,,native lib requires a network download blocked in this sandbox — benchmark via the Flutter app (flutter test integration_test -d <device>)
Realm,not run here,point_read,skipped,0,,,,native lib requires a network download blocked in this sandbox — benchmark via the Flutter app (flutter test integration_test -d <device>)
Realm,not run here,iterate_all,skipped,0,,,,native lib requires a network download blocked in this sandbox — benchmark via the Flutter app (flutter test integration_test -d <device>)
Realm,not run here,bulk_update,skipped,0,,,,native lib requires a network download blocked in this sandbox — benchmark via the Flutter app (flutter test integration_test -d <device>)
Realm,not run here,bulk_delete,skipped,0,,,,native lib requires a network download blocked in this sandbox — benchmark via the Flutter app (flutter test integration_test -d <device>)
